,SUBID_A,SUBID_B
1016,9535491,9535195
1017,9535498,9535195
1018,9535532,9535195
1019,9535579,9535195
1020,9535640,9535195
1021,9535729,9535195
1022,9535800,9535195
1023,9535836,9535195
1024,9535841,9535195
1025,9556306,9535195
1026,9556308,9535195
1027,9556345,9535195
1028,9556360,9535195
1029,9556371,9535195
1030,9556390,9535195
1031,9556397,9535195
1032,9556402,9535195
1033,9556413,9535195
1034,9556427,9535195
1035,9556439,9535195
1036,9556449,9535195
1037,9556463,9535195
1038,9556478,9535195
1039,9556479,9535195
1040,9556480,9535195
1041,9556483,9535195
1042,9556492,9535195
1043,9556512,9535195
1044,9556534,9535195
1045,9556545,9535195
1046,9556546,9535195
1047,9556558,9535195
1048,9556562,9535195
1049,9556569,9535195
1050,9556584,9535195
1051,9556586,9535195
1052,9556594,9535195
1053,9556596,9535195
1054,9556604,9535195
1055,9556608,9535195
1056,9556610,9535195
1057,9556631,9535195
1058,9556646,9535195
1059,9556649,9535195
1060,9556654,9535195
1061,9556664,9535195
1062,9556669,9535195
1063,9556684,9535195
1064,9556688,9535195
1065,9556694,9535195
1066,9556708,9535195
1067,9556713,9535195
1068,9556728,9535195
1069,9556740,9535195
1070,9556741,9535195
1071,9556754,9535195
1072,9556864,9535195
1073,9556955,9535195
1074,9557004,9535195
1075,9557101,9535195
1076,9557108,9535195
1077,9562826,9535195
1078,9562842,9535195
1079,9562851,9535195
1080,9562856,9535195
1081,9562860,9535195
1082,9562871,9535195
1083,9562897,9535195
1084,9562901,9535195
1085,9562902,9535195
1086,9562904,9535195
1087,9562908,9535195
1088,9562917,9535195
1089,9562934,9535195
1090,9562943,9535195
1091,9562945,9535195
1092,9562950,9535195
1093,9562986,9535195
1094,9563001,9535195
1095,9563019,9535195
1096,9563025,9535195
1097,9563040,9535195
1098,9563046,9535195
1099,9563049,9535195
1100,9563065,9535195
1101,9563071,9535195
1102,9563075,9535195
1103,9563101,9535195
1104,9563111,9535195
1105,9563122,9535195
1106,9563123,9535195
1107,9563126,9535195
1108,9563146,9535195
1109,9563158,9535195
1110,9563162,9535195
1111,9563167,9535195
1112,9563180,9535195
1113,9563192,9535195
1114,9563210,9535195
1115,9563216,9535195
1116,9563218,9535195
1117,9563221,9535195
1118,9563225,9535195
1119,9563239,9535195
1120,9563244,9535195
1121,9563266,9535195
1122,9563272,9535195
1123,9563280,9535195
1124,9563288,9535195
1125,9563300,9535195
1126,9563302,9535195
1127,9563307,9535195
1128,9563321,9535195
1129,9563326,9535195
1130,9563332,9535195
1131,9563334,9535195
1132,9563345,9535195
1133,9563354,9535195
1134,9535579,9535208
1135,9535729,9535219
1136,9500137,9535268
1137,9500145,9535268
1138,9500179,9535268
1139,9500191,9535268
1140,9500212,9535268
1141,9500466,9535268
1142,9500470,9535268
1143,9500704,9535268
1144,9500872,9535268
1145,9500877,9535268
1146,9500902,9535268
1147,9500904,9535268
1148,9500914,9535268
1149,9500916,9535268
1150,9500938,9535268
1151,9501257,9535268
1152,9501431,9535268
1153,9521760,9535268
1154,9521852,9535268
1155,9521868,9535268
1156,9521943,9535268
1157,9521989,9535268
1158,9522105,9535268
1159,9522125,9535268
1160,9522154,9535268
1161,9522258,9535268
1162,9535206,9535268
1163,9535226,9535268
1164,9535237,9535268
1165,9535267,9535268
1166,9535271,9535268
1167,9535295,9535268
1168,9535354,9535268
1169,9535370,9535268
1170,9535398,9535268
1171,9535483,9535268
1172,9535491,9535268
1173,9535498,9535268
1174,9535532,9535268
1175,9535729,9535268
1176,9535800,9535268
1177,9535836,9535268
1178,9535841,9535268
1179,9556306,9535268
1180,9556308,9535268
1181,9556345,9535268
1182,9556360,9535268
1183,9556371,9535268
1184,9556390,9535268
1185,9556397,9535268
1186,9556402,9535268
1187,9556413,9535268
1188,9556427,9535268
1189,9556439,9535268
1190,9556449,9535268
1191,9556463,9535268
1192,9556478,9535268
1193,9556479,9535268
1194,9556480,9535268
1195,9556483,9535268
1196,9556492,9535268
1197,9556512,9535268
1198,9556534,9535268
1199,9556545,9535268
1200,9556546,9535268
1201,9556558,9535268
1202,9556562,9535268
1203,9556569,9535268
1204,9556584,9535268
1205,9556586,9535268
1206,9556594,9535268
1207,9556596,9535268
1208,9556604,9535268
1209,9556608,9535268
1210,9556610,9535268
1211,9556631,9535268
1212,9556646,9535268
1213,9556649,9535268
1214,9556654,9535268
1215,9556664,9535268
1216,9556669,9535268
1217,9556684,9535268
1218,9556688,9535268
1219,9556694,9535268
